source,target,weight
A_1,A_2,1
A_1,A_3,1
A_1,A_65,1
A_1,A_66,1
A_1,A_166,1
A_1,A_167,1
A_1,A_224,1
A_1,A_253,1
A_1,A_302,1
A_1,A_303,1
A_1,A_304,1
A_1,A_305,1
A_1,A_306,1
A_1,A_307,1
A_1,A_344,1
A_1,A_345,1
A_1,A_346,1
A_1,A_347,1
A_1,A_391,1
A_1,A_418,1
A_1,A_436,1
A_1,A_618,1
A_1,A_619,1
A_1,A_661,1
A_1,A_662,1
A_1,A_663,1
A_1,A_664,1
A_1,A_710,1
A_1,A_711,1
A_1,A_712,1
A_1,A_713,1
A_1,A_714,1
A_1,A_715,1
A_1,A_717,1
A_2,A_3,1
A_2,A_65,1
A_2,A_66,1
A_2,A_166,1
A_2,A_167,1
A_2,A_224,1
A_2,A_253,1
A_2,A_302,1
A_2,A_303,1
A_2,A_304,1
A_2,A_305,1
A_2,A_306,1
A_2,A_307,1
A_2,A_344,1
A_2,A_345,1
A_2,A_346,1
A_2,A_347,1
A_2,A_391,1
A_2,A_418,1
A_2,A_436,1
A_2,A_618,1
A_2,A_619,1
A_2,A_661,1
A_2,A_662,1
A_2,A_663,1
A_2,A_664,1
A_2,A_710,1
A_2,A_711,1
A_2,A_712,1
A_2,A_713,1
A_2,A_714,1
A_2,A_715,1
A_2,A_717,1
A_3,A_65,1
A_3,A_66,1
A_3,A_166,1
A_3,A_167,1
A_3,A_224,1
A_3,A_253,1
A_3,A_302,1
A_3,A_303,1
A_3,A_304,1
A_3,A_305,1
A_3,A_306,1
A_3,A_307,1
A_3,A_344,1
A_3,A_345,1
A_3,A_346,1
A_3,A_347,1
A_3,A_391,1
A_3,A_418,1
A_3,A_436,1
A_3,A_618,1
A_3,A_619,1
A_3,A_661,1
A_3,A_662,1
A_3,A_663,1
A_3,A_664,1
A_3,A_710,1
A_3,A_711,1
A_3,A_712,1
A_3,A_713,1
A_3,A_714,1
A_3,A_715,1
A_3,A_717,1
A_4,A_143,1
A_4,A_418,1
