id,label,art_year_birth,art_year_death,art_nationality,art_area
A_1,Andrzej Czeczot (†),1933,2012,Poland,Europe
A_2,Andrzej Dudziński (†),1945,2023,Poland,Europe
A_3,Anna Gałuszka,,,Poland,Europe
A_4,Adrian Buschmann,1976,,Poland,Europe
A_5,Adriana Marmorek,1969,,Colombia,America (South)
A_6,AESOP,,,Russia,Europe
A_7,Ahn In-Kun,,,South Korea,Asia
A_8,Aids Hilfe Moskau,,,Russia,Europe
A_9,Alan Kline,,,,Europe
A_10,Albert Pall,1959,,Austria,Europe
A_11,Alberto López Meza,,,Nicaragua,America (Central)
A_12,Alena Baich,1973,,Austria,Europe
A_13,Aleš Zemene,1968,,Czech Republic,Europe
A_14,Alex Klein,1960,,Austria,Europe
A_15,Alexander Kazakov,,,Russia,Europe
A_16,Alexander Liaschenko Petljura,1955,,Russia,Europe
A_17,Alexander Lugin,,,Russia,Europe
A_18,Alexander Petrelli,1968,,Russia,Europe
A_19,Alexandra Riewe,1962,,Austria,Europe
A_20,Alfred Grasselli,1954,,Austria,Europe
A_21,Alfred Lang,1968,,Austria,Europe
A_22,Alfredo Gómez,,,Colombia,America (South)
A_23,Ambra Polidori,1954,,Mexico,America (North)
A_24,amici delle SVA (Robert Blazek),,,Austria,Europe
A_25,An Chi-In,,,South Korea,Asia
A_26,An Moon-Shik,,,South Korea,Asia
A_27,Anchelka Mazur,,,Austria,Europe
A_28,Andi Strauss,1968,,Austria,Europe
A_29,André Tschinder,1977,,,Europe
A_30,Andrea Baumann,1961,,,Europe
A_31,Andrea Di Castro,,,,
A_32,Andrea Schlemmer,1971,,Austria,Europe
A_33,Andrea Sodomka,1961,,Austria,Europe
A_34,Andrea Speetgens,,,Austria,Europe
A_35,Andreas Gasser,,,,
A_36,Andreas Klöckl,1968,,Austria,Europe
A_37,Andreas Kurz,1978,,,Europe
A_38,Andreas Platzer,,,,
A_39,Andreas Spiegl,,,,
A_40,Andreas Unterweger,,,,
A_41,Andreij Kislij,,,,
A_42,Anette Sense,,,,
A_43,Angá de la Luz,,,,
A_44,Angélica Rodríguez,,,,
A_45,Angelika Thon,1957,,Austria,Europe
A_46,Anita Hofer,1962,,Austria,Europe
A_47,Anita Witek,,,,
A_48,Anja Wiese,,,,
A_49,Anne Schmees,,,,
A_50,Annelie Gahl,,,,
A_51,Annette Giesriegl,,,,
A_52,anschlaege,,,,
A_53,Antal Lakner,,,,
A_54,Anton Cierny,,,,
A_55,Anton Lederer,,,,
A_56,Anton Tkachenko,,,,
A_57,Antonia Guerrero,,,,
A_58,Antonio Albanés,,,,
A_59,Aristarch Tscherneschov,,,,
A_60,Armando Montoya,,,Colombia,America (South)
A_61,Armin Pokorn,,,,
A_62,Arsenije Jovanovic,,,,
A_63,Assunta Abd El Azim Mohamed,,,,
A_64,Azra Aksamija,,,,
A_65,Bogusław Balicki,,,Poland,Europe
A_66,Bogdan Bartkowski,,,Poland,Europe
A_67,Baik Kum-Nam,,,,
