source,target,weight
A_1,P_5,1
A_2,P_5,1
A_3,P_5,1
A_4,P_113,1
A_5,P_128,1
A_6,P_14,1
A_7,P_11,1
A_8,P_14,1
A_9,P_109,1
A_10,P_29,1
A_11,P_71,1
A_12,P_109,1
A_13,P_33,1
A_14,P_11,1
A_15,P_14,1
A_16,P_14,1
A_17,P_14,1
A_18,P_14,1
A_19,P_125,1
A_20,P_11,1
A_24,P_109,1
A_25,P_11,1
A_26,P_11,1
A_29,P_109,1
A_37,P_109,1
A_41,P_14,1
A_42,P_11,1
A_45,P_109,1
A_46,P_109,1
A_49,P_11,1
A_59,P_14,1
A_65,P_5,1
A_66,P_5,1
A_67,P_11,1
A_70,P_11,1
A_75,P_11,1
A_83,P_14,1
A_87,P_11,1
A_90,P_14,1
A_94,P_14,1
A_104,P_11,1
A_105,P_11,1
A_106,P_11,1
A_107,P_11,1
A_108,P_11,1
A_115,P_11,1
A_122,P_11,1
A_123,P_11,1
A_126,P_11,1
A_129,P_108,1
A_134,P_11,1
A_136,P_109,1
A_137,P_14,1
A_143,P_113,1
A_149,P_109,1
A_152,P_11,1
A_157,P_109,1
A_165,P_110,1
A_166,P_5,1
A_167,P_5,1
A_168,P_109,1
A_172,P_109,1
A_176,P_14,1
A_177,P_109,1
A_184,P_11,1
A_188,P_11,1
A_192,P_109,1
A_198,P_109,1
A_205,P_110,1
A_219,P_109,1
A_220,P_11,1
A_224,P_5,1
A_232,P_14,1
A_247,P_14,1
A_249,P_11,1
A_253,P_5,1
A_254,P_112,1
A_257,P_11,1
A_258,P_11,1
A_262,P_11,1
A_279,P_109,1
A_280,P_11,1
A_281,P_11,1
A_282,P_11,1
A_286,P_109,1
A_287,P_109,1
A_292,P_109,1
A_302,P_5,1
A_303,P_5,1
A_304,P_5,1
A_305,P_5,1
A_306,P_5,1
A_307,P_5,1
A_311,P_11,1
A_315,P_11,1
A_316,P_11,1
A_321,P_109,1
A_322,P_109,1
A_332,P_11,1
A_340,P_11,1
A_341,P_11,1
A_344,P_5,1
A_345,P_5,1
A_346,P_5,1
A_347,P_5,1
A_348,P_11,1
A_349,P_11,1
A_350,P_11,1
A_351,P_11,1
A_354,P_11,1
A_357,P_109,1
A_358,P_11,1
A_367,P_11,1
A_368,P_11,1
A_369,P_11,1
A_370,P_11,1
A_371,P_11,1
A_372,P_11,1
A_373,P_11,1
A_374,P_11,1
A_375,P_11,1
A_376,P_11,1
A_377,P_11,1
A_383,P_14,1
A_391,P_5,1
A_396,P_14,1
A_397,P_14,1
A_404,P_11,1
A_405,P_11,1
A_406,P_11,1
A_407,P_11,1
A_408,P_11,1
A_409,P_11,1
A_410,P_11,1
A_411,P_11,1
A_412,P_11,1
A_413,P_11,1
A_414,P_11,1
A_415,P_11,1
A_416,P_11,1
A_417,P_11,1
A_418,P_1,1
A_419,P_128,1
A_420,P_4,1
A_423,P_109,1
A_434,P_109,1
A_436,P_5,1
A_438,P_113,1
A_444,P_14,1
A_449,P_11,1
A_451,P_109,1
A_452,P_109,1
A_464,P_11,1
A_479,P_113,1
A_482,P_113,1
A_493,P_109,1
A_494,P_110,1
A_502,P_110,1
A_507,P_14,1
A_514,P_14,1
A_518,P_110,1
A_522,P_11,1
A_525,P_11,1
A_526,P_11,1
A_527,P_11,1
A_528,P_11,1
A_529,P_11,1
A_530,P_11,1
A_539,P_11,1
A_545,P_14,1
A_559,P_109,1
A_582,P_110,1
A_590,P_11,1
A_591,P_14,1
A_598,P_11,1
A_611,P_14,1
A_618,P_5,1
A_619,P_5,1
A_621,P_110,1
A_622,P_109,1
A_630,P_110,1
A_633,P_11,1
A_634,P_11,1
A_635,P_11,1
A_643,P_11,1
A_647,P_109,1
A_650,P_11,1
A_653,P_11,1
A_654,P_11,1
A_658,P_14,1
A_661,P_5,1
A_662,P_5,1
A_663,P_5,1
A_664,P_5,1
A_666,P_109,1
A_667,P_11,1
A_707,P_14,1
A_709,P_14,1
A_710,P_5,1
A_711,P_5,1
A_712,P_5,1
A_713,P_5,1
A_714,P_5,1
A_715,P_5,1
A_717,P_5,1
A_729,P_11,1
A_731,P_11,1
A_735,P_11,1
A_741,P_11,1
A_742,P_11,1
A_744,P_109,1
A_10,P_109,1
A_10,P_111,1
A_10,P_157,1
A_10,P_161,1
A_10,P_215,1
A_10,P_219,1
A_11,P_134,1
A_14,P_13,1
A_418,P_2,1
A_418,P_3,1
A_418,P_4,1
A_418,P_5,1
A_418,P_6,1
A_418,P_7,1
A_418,P_8,1
A_418,P_9,1
A_418,P_10,1
A_418,P_11,1
A_418,P_12,1
A_418,P_13,1
A_418,P_14,1
A_418,P_15,1
A_418,P_16,1
A_418,P_17,1
A_418,P_18,1
A_418,P_19,1
A_418,P_20,1
A_418,P_21,1
A_418,P_22,1
A_418,P_23,1
A_418,P_24,1
A_418,P_25,1
A_418,P_26,1
A_418,P_27,1
A_418,P_28,1
A_418,P_29,1
A_418,P_30,1
A_418,P_31,1
A_418,P_32,1
A_418,P_33,1
A_418,P_34,1
A_418,P_35,1
A_418,P_36,1
A_418,P_37,1
A_418,P_38,1
A_418,P_39,1
A_418,P_40,1
A_418,P_41,1
A_418,P_42,1
A_418,P_43,1
A_418,P_44,1
A_418,P_45,1
A_418,P_46,1
A_418,P_47,1
A_418,P_48,1
A_418,P_49,1
A_418,P_50,1
A_418,P_51,1
A_418,P_52,1
A_418,P_53,1
A_418,P_54,1
A_418,P_55,1
A_418,P_56,1
A_418,P_57,1
A_418,P_58,1
A_418,P_59,1
A_418,P_60,1
A_418,P_61,1
A_418,P_62,1
A_418,P_63,1
A_418,P_64,1
A_418,P_65,1
A_418,P_66,1
A_418,P_67,1
A_418,P_68,1
A_418,P_69,1
A_418,P_70,1
A_418,P_71,1
A_418,P_72,1
A_418,P_73,1
A_418,P_74,1
A_418,P_75,1
A_418,P_76,1
A_418,P_77,1
A_418,P_78,1
A_418,P_79,1
A_418,P_80,1
A_418,P_81,1
A_418,P_82,1
A_418,P_83,1
A_418,P_84,1
A_418,P_85,1
A_418,P_86,1
A_418,P_87,1
A_418,P_88,1
A_418,P_89,1
A_418,P_90,1
A_418,P_91,1
A_418,P_92,1
A_418,P_93,1
A_418,P_94,1
A_418,P_95,1
A_418,P_96,1
A_418,P_97,1
A_418,P_98,1
A_418,P_99,1
A_418,P_100,1
A_418,P_101,1
A_418,P_102,1
A_418,P_103,1
A_418,P_104,1
A_418,P_105,1
A_418,P_106,1
A_418,P_107,1
A_418,P_108,1
A_418,P_109,1
A_418,P_110,1
A_418,P_111,1
A_418,P_112,1
A_418,P_113,1
A_418,P_114,1
A_418,P_115,1
A_418,P_116,1
A_418,P_117,1
A_418,P_118,1
A_418,P_119,1
A_418,P_120,1
A_418,P_121,1
A_418,P_122,1
A_418,P_123,1
A_418,P_124,1
A_418,P_125,1
A_418,P_126,1
A_418,P_127,1
A_418,P_128,1
A_418,P_129,1
A_418,P_130,1
A_418,P_131,1
A_418,P_132,1
A_418,P_133,1
A_418,P_134,1
A_418,P_135,1
A_418,P_136,1
A_418,P_137,1
A_418,P_138,1
A_418,P_139,1
A_418,P_140,1
A_418,P_141,1
A_418,P_142,1
A_418,P_143,1
A_418,P_144,1
A_418,P_145,1
A_418,P_146,1
A_418,P_147,1
A_418,P_148,1
A_418,P_149,1
A_418,P_150,1
A_418,P_151,1
A_418,P_152,1
A_418,P_153,1
A_418,P_154,1
A_418,P_155,1
A_418,P_156,1
A_418,P_157,1
A_418,P_158,1
A_418,P_159,1
A_418,P_160,1
A_418,P_161,1
A_418,P_162,1
A_418,P_163,1
A_418,P_164,1
A_418,P_165,1
A_418,P_166,1
A_418,P_167,1
A_418,P_168,1
A_418,P_169,1
A_418,P_170,1
A_418,P_171,1
A_418,P_172,1
A_418,P_173,1
A_418,P_174,1
A_418,P_175,1
A_418,P_176,1
A_418,P_177,1
A_418,P_178,1
A_418,P_179,1
A_418,P_180,1
A_418,P_181,1
A_418,P_182,1
A_418,P_183,1
A_418,P_184,1
A_418,P_185,1
A_418,P_186,1
A_418,P_187,1
A_418,P_188,1
A_418,P_189,1
A_418,P_190,1
A_418,P_191,1
A_418,P_192,1
A_418,P_193,1
A_418,P_194,1
A_418,P_195,1
A_418,P_196,1
A_418,P_197,1
A_418,P_198,1
A_418,P_199,1
A_418,P_200,1
A_418,P_201,1
A_418,P_202,1
A_418,P_203,1
A_418,P_204,1
A_418,P_205,1
A_19,P_133,1
A_420,P_66,1
A_420,P_74,1
A_420,P_71,1
A_420,P_81,1
A_129,P_109,1
A_249,P_109,1
A_254,P_109,1
