id,label,node_type,pro_year_begin,pro_year_end,ser_id,ser_title,eve_cat_id
A_1,Andrzej Czeczot (†),artist,,,,,
A_2,Andrzej Dudziński (†),artist,,,,,
A_3,Anna Gałuszka,artist,,,,,
A_4,Adrian Buschmann,artist,,,,,
A_5,Adriana Marmorek,artist,,,,,
A_6,AESOP,artist,,,,,
A_7,Ahn In-Kun,artist,,,,,
A_8,Aids Hilfe Moskau,artist,,,,,
A_9,Alan Kline,artist,,,,,
A_10,Albert Pall,artist,,,,,
A_11,Alberto López Meza,artist,,,,,
A_12,Alena Baich,artist,,,,,
A_13,Aleš Zemene,artist,,,,,
A_14,Alex Klein,artist,,,,,
A_15,Alexander Kazakov,artist,,,,,
A_16,Alexander Liaschenko Petljura,artist,,,,,
A_17,Alexander Lugin,artist,,,,,
A_18,Alexander Petrelli,artist,,,,,
A_19,Alexandra Riewe,artist,,,,,
A_20,Alfred Grasselli,artist,,,,,
A_21,Alfred Lang,artist,,,,,
A_22,Alfredo Gómez,artist,,,,,
A_23,Ambra Polidori,artist,,,,,
A_24,amici delle SVA (Robert Blazek),artist,,,,,
A_25,An Chi-In,artist,,,,,
A_26,An Moon-Shik,artist,,,,,
A_27,Anchelka Mazur,artist,,,,,
A_28,Andi Strauss,artist,,,,,
A_29,André Tschinder,artist,,,,,
A_30,Andrea Baumann,artist,,,,,
A_31,Andrea Di Castro,artist,,,,,
A_32,Andrea Schlemmer,artist,,,,,
A_33,Andrea Sodomka,artist,,,,,
A_34,Andrea Speetgens,artist,,,,,
A_35,Andreas Gasser,artist,,,,,
A_36,Andreas Klöckl,artist,,,,,
A_37,Andreas Kurz,artist,,,,,
A_38,Andreas Platzer,artist,,,,,
A_39,Andreas Spiegl,artist,,,,,
A_40,Andreas Unterweger,artist,,,,,
A_41,Andreij Kislij,artist,,,,,
A_42,Anette Sense,artist,,,,,
A_43,Angá de la Luz,artist,,,,,
A_44,Angélica Rodríguez,artist,,,,,
A_45,Angelika Thon,artist,,,,,
A_46,Anita Hofer,artist,,,,,
A_47,Anita Witek,artist,,,,,
A_48,Anja Wiese,artist,,,,,
A_49,Anne Schmees,artist,,,,,
A_50,Annelie Gahl,artist,,,,,
A_51,Annette Giesriegl,artist,,,,,
A_52,anschlaege,artist,,,,,
A_53,Antal Lakner,artist,,,,,
A_54,Anton Cierny,artist,,,,,
A_55,Anton Lederer,artist,,,,,
A_56,Anton Tkachenko,artist,,,,,
A_57,Antonia Guerrero,artist,,,,,
A_58,Antonio Albanés,artist,,,,,
A_59,Aristarch Tscherneschov,artist,,,,,
A_60,Armando Montoya,artist,,,,,
A_61,Armin Pokorn,artist,,,,,
A_62,Arsenije Jovanovic,artist,,,,,
A_63,Assunta Abd El Azim Mohamed,artist,,,,,
A_64,Azra Aksamija,artist,,,,,
A_65,Bogusław Balicki,artist,,,,,
A_66,Bogdan Bartkowski,artist,,,,,
A_67,Baik Kum-Nam,artist,,,,,
A_68,"Bananeros/as de Chinandega (Familia López Meza, Familia Morales, Jerónimo Lira, Francisco González y otros más)",artist,,,,,
A_69,Barbara Musil,artist,,,,,
A_70,Barbara Schmette,artist,,,,,
A_71,Barbara Teubl,artist,,,,,
A_72,Barbara Waschmann,artist,,,,,
A_73,Bastian Schwind,artist,,,,,
A_74,bb15,artist,,,,,
A_75,Beate Schachinger,artist,,,,,
A_76,Beatriz Franco,artist,,,,,
A_77,Benjamin Klug,artist,,,,,
A_78,Bernadette Moser,artist,,,,,
A_79,Bernd Oppel,artist,,,,,
A_80,Berndt Luef,artist,,,,,
A_81,Bernhard Breuer,artist,,,,,
A_82,Bernhard Hammer,artist,,,,,
A_83,Bernhard Wolf,artist,,,,,
A_84,Besucher*innen,artist,,,,,
A_85,Bettina Landl,artist,,,,,
A_86,Billy Roisz,artist,,,,,
A_87,Birgit Jürgensen (†),artist,,,,,
A_88,Birgit Pölzl,artist,,,,,
A_89,Bojan Petrovic,artist,,,,,
A_90,Boris Matrosov,artist,,,,,
A_91,Bostjan Perovsek,artist,,,,,
A_92,Branka Ćurčić,artist,,,,,
A_93,Breda Susa,artist,,,,,
A_94,Bronislava Anatolejevnaja Dubner,artist,,,,,
A_95,Bruno Frei,artist,,,,,
A_96,Bulbul,artist,,,,,
A_97,"Cabinet Caligari (Peter Deutschmeister, Heinz Hutter, Leo Kreisel-Strausz)",artist,,,,,
A_98,Cándida Meza Alvarado,artist,,,,,
A_99,Carsten Stabenow – tuned city,artist,,,,,
A_100,Catalina Peralta,artist,,,,,
A_101,Catherine Rollier,artist,,,,,
A_102,Catrin Bolt,artist,,,,,
A_103,Celia Carolina López Meza,artist,,,,,
A_104,Cho Choul-Ho,artist,,,,,
A_105,Cho Tae-Hee,artist,,,,,
A_106,Choi Eun-Kyu,artist,,,,,
A_107,Choi Jae-Hwang,artist,,,,,
A_108,Christian Bachler,artist,,,,,
A_109,Christian KRI Kammerhofer,artist,,,,,
A_110,Christian Ruck,artist,,,,,
A_111,Christiane Spatt,artist,,,,,
A_112,Christina Meissner,artist,,,,,
A_113,Christina Werner,artist,,,,,
A_114,Christine S. Prantauer,artist,,,,,
A_115,Christine Ulm,artist,,,,,
A_116,Christof Elpons,artist,,,,,
A_117,Christoph Lissy,artist,,,,,
A_118,Christoph Mauz,artist,,,,,
A_119,Christoph Zarsel,artist,,,,,
A_120,Christopher Grüner,artist,,,,,
A_121,Christopher Kalwei,artist,,,,,
A_122,Chung Chung-Soo,artist,,,,,
A_123,Chung U-Chol,artist,,,,,
A_124,Clarissa Wanko,artist,,,,,
A_125,Claudia Märzendorfer,artist,,,,,
A_126,Claudia Plank,artist,,,,,
A_127,Clemens Pliem,artist,,,,,
A_128,club real * Berlin,artist,,,,,
A_129,Colectivo Veinti3,artist,,,,,
A_130,Concha Jerez,artist,,,,,
A_131,Conny Köberl,artist,,,,,
A_132,Consuelo Mora Benard,artist,,,,,
A_133,Cornelia Genschow,artist,,,,,
A_134,Corona,artist,,,,,
A_135,Cym (Simone van Groenestijn),artist,,,,,
A_136,Dagmar Anna Hödl,artist,,,,,
A_137,Daniil Filipov,artist,,,,,
A_138,Darwin Andino,artist,,,,,
A_139,Dave Allen,artist,,,,,
A_140,David Kranzelbinder,artist,,,,,
A_141,ddkern (Dieter Kern),artist,,,,,
A_142,de player,artist,,,,,
A_143,Dejan Dukic,artist,,,,,
A_144,Dejan Lapanja,artist,,,,,
A_145,Department München,artist,,,,,
A_146,Roland derHunt/Ratti Rathmair,artist,,,,,
A_147,"DI Martin Regelsberger, Kulturtechnik u. Wasserwirtschaft",artist,,,,,
A_148,Diana Levin,artist,,,,,
A_149,"Die Jugendlichen (J., A., K., O., M., I., und einige mehr)",artist,,,,,
A_150,Die Sixtinische Kapelle _ Confuse the nuns,artist,,,,,
A_151,Dieter Glawischnig,artist,,,,,
A_152,Dietmar Hollenstein,artist,,,,,
A_153,Dietmar Offenhuber,artist,,,,,
