source,target,weight
P_1,P_2,1
P_1,P_3,1
P_1,P_4,1
P_1,P_5,1
P_1,P_6,1
P_1,P_7,1
P_1,P_8,1
P_1,P_9,1
P_1,P_10,1
P_1,P_11,1
P_1,P_12,1
P_1,P_13,1
P_1,P_14,1
P_1,P_15,1
P_1,P_16,1
P_1,P_17,1
P_1,P_18,1
P_1,P_19,1
P_1,P_20,1
P_1,P_21,1
P_1,P_22,1
P_1,P_23,1
P_1,P_24,1
P_1,P_25,1
P_1,P_26,1
P_1,P_27,1
P_1,P_28,1
P_1,P_29,1
P_1,P_30,1
P_1,P_31,1
P_1,P_32,1
P_1,P_33,1
P_1,P_34,1
P_1,P_35,1
P_1,P_36,1
P_1,P_37,1
P_1,P_38,1
P_1,P_39,1
P_1,P_40,1
P_1,P_41,1
P_1,P_42,1
P_1,P_43,1
P_1,P_44,1
P_1,P_45,1
P_1,P_46,1
P_1,P_47,1
P_1,P_48,1
P_1,P_49,1
P_1,P_50,1
P_1,P_51,1
P_1,P_52,1
P_1,P_53,1
P_1,P_54,1
P_1,P_55,1
P_1,P_56,1
P_1,P_57,1
P_1,P_58,1
P_1,P_59,1
P_1,P_60,1
P_1,P_61,1
P_1,P_62,1
P_1,P_63,1
P_1,P_64,1
P_1,P_65,1
P_1,P_66,1
P_1,P_67,1
P_1,P_68,1
P_1,P_69,1
P_1,P_70,1
P_1,P_71,1
P_1,P_72,1
P_1,P_73,1
P_1,P_74,1
P_1,P_75,1
P_1,P_76,1
P_1,P_77,1
P_1,P_78,1
P_1,P_79,1
P_1,P_80,1
P_1,P_81,1
P_1,P_82,1
P_1,P_83,1
P_1,P_84,1
P_1,P_85,1
P_1,P_86,1
P_1,P_87,1
P_1,P_88,1
P_1,P_89,1
P_1,P_90,1
P_1,P_91,1
P_1,P_92,1
P_1,P_93,1
P_1,P_94,1
P_1,P_95,1
P_1,P_96,1
P_1,P_97,1
P_1,P_98,1
P_1,P_99,1
P_1,P_100,1
P_1,P_101,1
P_1,P_102,1
P_1,P_103,1
P_1,P_104,1
P_1,P_105,1
P_1,P_106,1
P_1,P_107,1
P_1,P_108,1
