id,label,pro_year_begin,pro_year_end,ser_id,ser_title,eve_cat_id
P_1,Gründung des Vereins RHIZOM,1988,1988,1,(no serie),12
P_2,On the road – in public space,1989,ongoing,2,On the road – in public space,3
P_3,Z A na B – Von A nach B,1989,1989,1,(no serie),11
P_4,mural,1989,1989,3,Mural,23
P_5,Polski Plakatu – Polnische Plakate,1990,1990,1,(no serie),27
P_6,SOLINA 90,1990,1990,1,(no serie),25
P_7,Aus-Art,1991,1991,1,(no serie),1
P_8,Die Grenze,1991,1991,1,(no serie),19
P_9,Petrowskji boulevard 12,1992,1992,1,(no serie),22
P_10,Swiss R,1992,1992,1,(no serie),1
P_11,Austria – Korea,1993,1993,1,(no serie),1
P_12,IMAGO – Hidden Projects,1994,1994,1,(no serie),3
P_13,Transfer,1994,1994,1,(no serie),1
P_14,Direkt Maschin Moskau-Graz,1994,1994,1,(no serie),1
P_15,¿Adónde? – wohin?,1995,1995,1,(no serie),1
P_16,Brutstätte,1995,1995,1,(no serie),1
P_17,…nach,1996,1996,1,(no serie),1
P_18,Diffusion (chem.),1997,1997,1,(no serie),1
P_19,Kokon,1997,1997,1,(no serie),16
P_20,In situ,1998,1998,1,(no serie),22
P_21,Interchange,1999,1999,1,(no serie),1
P_22,zu atmen,1999,1999,1,(no serie),3
P_23,inspiraciones – atemzüge,2000,2000,1,(no serie),3
P_24,Hören ist Sehen,2000,2000,1,(no serie),22
P_25,geöffnet – räume und geschichte(n) I,2001,2001,4,geöffnet! – räume und geschichte(n),3
P_26,geöffnet – räume und geschichte(n) II,2001,2001,4,geöffnet! – räume und geschichte(n),3
P_27,geöffnet – räume und geschichte(n) III,2001,ongoing,4,geöffnet! – räume und geschichte(n),3
P_28,geöffnet – räume und geschichte(n) IV,2001,2001,4,geöffnet! – räume und geschichte(n),3
P_29,geöffnet – räume und geschichte(n) V,2002,2002,4,geöffnet! – räume und geschichte(n),3
P_30,geöffnet – räume und geschichte(n) VI,2002,2002,4,geöffnet! – räume und geschichte(n),3
P_31,GrenzLeben,2002,2002,1,(no serie),22
P_32,"hotel rhizom, STEREOREALITÄTEN, not.tour.no (subventionen sind fad)",2003,2003,1,(no serie),1
P_33,geöffnet – räume und geschichte(n) VII,2003,2003,4,geöffnet! – räume und geschichte(n),3
P_34,geöffnet – räume und geschichte(n) VIII,2003,2003,4,geöffnet! – räume und geschichte(n),3
P_35,geöffnet! – räume und geschichte(n),2003,2006,4,geöffnet! – räume und geschichte(n),3
P_36,versandhauskatalogprogrammmusik,2004,2004,1,(no serie),28
P_37,Glück und Unglück 2,2004,2004,1,(no serie),22
P_38,OUTofSPACE,2004,2004,1,(no serie),4
P_39,cityTV – A.R.T. of reality,2005,2005,1,(no serie),22
P_40,Querfeldein Fussballspiel,2005,2005,1,(no serie),13
P_41,Postbus (A) – Autobus (CZ),2005,2005,1,(no serie),17
P_42,RHIZOM zu Gast im Hotel Pupik (O.R.F. Schrattenberg),2005,2005,1,(no serie),22
P_43,Herauslösen – einer Spur folgen – querverbinden – zwischen den Bildern lesen – dem Klang der Worte folgen (I),2005,2005,1,(no serie),22
P_44,TTT Publikation & Präsentation (II),2005,2005,1,(no serie),28
P_45,nowhere(wo)men_now here (wo)men,2005,2005,1,(no serie),1
P_46,Die 3. Szene sind wir,2005,2005,1,(no serie),4
P_47,Querfeldein Fussballspiel,2006,2006,1,(no serie),28
P_48,"O(ffen).R(eal).F(undamental), Schrattenberg, Steiermark (I)",2006,2006,1,(no serie),22
P_49,rhizom.lebend.geschichte,2006,2006,1,(no serie),22
P_50,metrópolifónico,2007,2007,1,(no serie),32
P_51,mille plateaux – (audio) clicks & (visual) cuts,2007,2007,5,Real City,22
P_52,multiple base_public base_home base,2007,2007,1,(no serie),22
P_53,public frequency sound converter,2007,2007,1,(no serie),32
P_54,videoheadball,2007,2007,1,(no serie),22
P_55,Weite suchen – 24-Stunden-Hotel Rhizom,2007,2007,1,(no serie),3
P_56,"Plattform Kunst ~ Öffentlichkeit, Innsbruck, Tirol & e.d gfrerer, Graz (II)",2007,2007,1,(no serie),3
P_57,Real City (under construction),2007,2007,5,Real City,3
P_58,BulBul vs. Soundmogul,2008,2008,1,(no serie),3
P_59,Wort halt still,2008,2008,6,non-realized projects,3
P_60,my space (in global slices) (III),2008,2008,1,(no serie),1
P_61,Volles Risiko,2008,2008,6,non-realized projects,1
P_62,Verlasst die Stadt!,2008,2008,1,(no serie),9
P_63,Land Art Cross Soccer – Videopräsentation,2008,2008,1,(no serie),28
P_64,systems of a town,2008,2008,1,(no serie),1
P_65,Geh weg | na poti | stand by (IV),2009,2009,1,(no serie),3
P_66,mural final,2009,2009,3,Mural,3
P_67,von hier aus,2009,2009,7,desde aquí – von hier aus,1
P_68,Mark und Pein,2009,2009,1,(no serie),1
P_69,von hier aus. erinnerung & wechselseitige verbindung – Augarten-Nord,2010,2010,7,desde aquí – von hier aus,3
P_70,von hier aus. das wort,2010,2010,7,desde aquí – von hier aus,1
P_71,von hier aus. Nicaragua-Österreich,2010,2010,7,desde aquí – von hier aus,1
P_72,Reclaiming Space – Temporäre Zwischennutzungen_architekturforum oberösterreich,2010,2010,1,(no serie),11
P_73,Shared Space – Perspektiven für eine neue Kultur des öffentlichen Raums_HDA Graz,2010,2010,1,(no serie),1
P_74,mural fragmental,2010,2010,3,Mural,1
P_75,von hier aus. efendi! itara dot. efendi!,2010,2010,7,desde aquí – von hier aus,3
